Tipo de insumo,Marca,Presentación , Precio promedio ,ML/GR/pieza,Precio x ML
Adicionales - dulces,Banderillon Productos Bravo,Bote 50 pz, $83.00 ,50, $1.6600 
Adicionales - dulces,Banderilla el gatito,Bote 50 pz, $38.90 ,50, $0.7780 
Adicionales - dulces,Banderilla el tarugo ,Bote 50 pz, $44.00 ,50, $0.8800 
Adicionales - dulces,Gomitas Manguitos Lucky Gummy,Bolsa 1000 gr, $70.90 ,1000, $0.0709 
Adicionales - dulces,Gomitas Ositos Lucky Gummy,Bolsa 1000 gr, $74.00 ,1000, $0.0740 
Adicionales - dulces,Gomitas Shark,Bolsa 1000 gr, $90.30 ,1000, $0.0903 
Adicionales - dulces,Gomita Rainbow,Bolsa 1000 gr, $126.00 ,1000, $0.1260 
MP indirecta,Ajonjoli,Bolsa 1000 gr, $67.50 ,1000, $0.0675 
Cerveza,Modelo (especial),Six 355ml, $108.00 ,2130, $0.0507 
Cerveza,Modelo (especial),24 de 355ml, $619.00 ,8520, $0.0727 
Cerveza,Modelo (especial),Latón 1 pieza , $27.00 ,473, $0.0571 
Cerveza,Victoria,Six 355ml, $112.00 ,2130, $0.0526 
Cerveza,Victoria,Laton, $19.50 ,473, $0.0412 
Cerveza,Victoria,4 latones, $90.00 ,1892, $0.0476 
Cerveza,Ultra,Six 355ml, $120.00 ,2130, $0.0563 
Cerveza,Ultra,24 de 355ml, $510.00 ,8520, $0.0599 
Cerveza,Carta blanca,Six 355ml, $65.60 ,2130, $0.0308 
Cerveza,Carta blanca,Caguama 940 ml, $34.00 ,940, $0.0362 
Cerveza,Carta blanca,Six Caguamita 300 ml, $79.00 ,1800, $0.0439 
MP indirecta,Limon sin semilla,1 kilo, $20.00 ,1000, $0.0200 
MP indirecta,Concentrado de limon,Bote 1 lt, $27.00 ,1000, $0.0270 
MP indirecta,Sal de grano,Bolsa 1000 gr, $15.00 ,1000, $0.0150 
Polvo para escarchar,Miguelito,Botella 250 gr, $22.50 ,250, $0.0900 
Polvo para escarchar,Miguelito,Bolsa 980 gr, $63.70 ,980, $0.0650 
Polvo para escarchar,Polvo Aby,Bote 1g, $49.90 ,1000, $0.0499 
Pulpa liquida,Pulparindo Splash,Envase 300 gr, $39.80 ,300, $0.1327 
Pulpa liquida,Salsa Picho ,Bote 1kg, $29.50 ,1000, $0.0295 
Salsas,"Miche mix sal, picante y especias",Bote 240 ml, $32.00 ,240, $0.1333 
Salsas,Miche mix clasica,Bote 240 ml, $32.00 ,240, $0.1333 
Salsas,Miche mix habanero,Bote 240 ml, $32.00 ,240, $0.1333 
Salsas,Miche mix salimon,Bote 240 ml, $32.00 ,240, $0.1333 
Pulpa para escarchar,Forritos Rim Dip,Bote 227 gr, $43.90 ,227, $0.1934 
Pulpa para escarchar,Forritos Rim Dip Mora Azul,Bote 227 gr, $43.90 ,227, $0.1934 
Pulpa para escarchar,Forritos Rim Dip Sandia,Bote 227 gr, $40.70 ,227, $0.1793 
Pulpa para escarchar,Pulparindo Rim Dip Mango,Bote 250 gr, $34.60 ,250, $0.1384 
Pulpa para escarchar,Pulparindo Rim Dip Original,Bote 250 gr, $34.60 ,250, $0.1384 
Pulpa para escarchar,Patuchela Pavito,Bote 500 gr, $54.00 ,500, $0.1080 
Pulpa para escarchar,Patuchela Pavito Mora,Bote 500 gr, $54.00 ,500, $0.1080 
Pulpa para escarchar,Patuchela Pavito Mango,Bote 500 gr, $54.00 ,500, $0.1080 
Salsas,Clamato,Bote 1.89 lt, $60.00 ,1890, $0.0317 
Salsas,Clamato,Bote 946 ml, $47.00 ,946, $0.0497 
Salsas,Clamato,2 botes de 2.54 lt, $115.00 ,5080, $0.0226 
Salsas,Salsa Tabasco,bote 60 ml, $50.00 ,60, $0.8333 
Salsas,Salsa Tabasco,bote 355 ml, $220.00 ,355, $0.6197 
Salsas,Salsa negra la costeña,Bote 360 ml, $22.00 ,360, $0.0611 
Salsas,Mi chela Maggi,Bote 145 ml, $28.00 ,145, $0.1931 
Salsas,Salsa Maggi,Bote 200 ml, $81.00 ,200, $0.4050 
Salsas,Salsa Maggi,Bote 100 ml, $47.00 ,100, $0.4700 
Salsas,Salsa Inglesa,Bote 980 ml, $157.42 ,980, $0.1606 
Salsas,Mi chela Maggi,Bote 1.9L, $272.44 ,1900, $0.1434 
Salsas,Salsa cubana Frutimich,Bote 1 lt, $60.00 ,1000, $0.0600 
MP indirecta,Tajin,3 piezas 255 gr, $128.00 ,765, $0.1673 
Alcohol,Bacardi Mango,Botella 700 ml, $310.66 ,700, $0.4438 
Jarabe,Frutimich jarabe mango,Botella 1 lt, $57.00 ,700, $0.0814 
Alcohol,Vodka Smirnoff,Botella 1 lt, $305.86 ,1000, $0.3059 
Alcohol,Curazao Licor Flamingo,Botella 1 lt, $208.99 ,1000, $0.2090 
Alcohol,Mezcal,Botella 750 ml, $400.00 ,750, $0.5333 
Alcohol,Bacardi,Botella 700 ml, $271.07 ,700, $0.3872 
Alcohol,Bacardi raspberry,Botella 750 ml, $281.30 ,750, $0.3751 
Alcohol,Vino Rosado Riunite Lambrusco,Botella 1.5 lt, $250.63 ,1500, $0.1671 
Refresco,Sprite,Botella 3 lt, $38.50 ,3000, $0.0128 
Energizante,Boost,Paquete 12 piezas 235 ml, $230.10 ,2820, $0.0816 
Refresco,Fresa-Kiwi Mundet,Botella 2 lt, $26.00 ,2000, $0.0130 
Alcohol,Gran malo,Botella 750 ml, $339.00 ,750, $0.4520 
Alcohol,Vodka Tamarindo,Smirnoff Tamarindo 1lt, $322.21 ,1000, $0.3222 
Refresco,Sprite,6 latas de 355 ml, $106.00 ,2130, $0.0498 
Refresco,Agua mineral,12 botellas de 2 lt, $200.00 ,24000, $0.0083 
Jarabe,Concentrado de tamarindo,Botella 1.89 lt, $145.00 ,1890, $0.0767 
Jarabe,Jarabe natural,Botella 1 lt, $85.00 ,1000, $0.0850 
Adicionales - dulces,Gomitas Frutas Lucky,Bolsa 1kg, $71.30 ,1000, $0.0713 
Adicionales - dulces,Gomitas Pepino enchilada acidul,Bolsa 1kg, $88.00 ,1000, $0.0880 
Adicionales - dulces,Gomitas Crazy Rings Sandia,Bolsa 1kg, $82.50 ,1000, $0.0825 
Adicionales - dulces,Gomita sandia zumba ,50 piezas, $56.20 ,50, $1.1240 
Pulpa para escarchar,Patuchela Pavito Chamoy,Bote 500 gr, $54.00 ,500, $0.1080 
Pulpa para escarchar,Pulpa Chamoyazo Miguelito,Bote 950 gr, $92.30 ,950, $0.0972 
Pulpa para escarchar,Pasta Mora Azul Micho,Bote 600 gr, $52.80 ,600, $0.0880 
Pulpa para escarchar,Tamamich,Bote 1000 gr, $60.10 ,1000, $0.0601 
Adicionales - dulces,Zumba Roll Mango,Paquete 12 piezas, $37.20 ,12, $3.1000 
Pulpa para escarchar,Salsa mix ,Bote 1100 gr, $62.40 ,1100, $0.0567 
Pulpa para escarchar,Frutimich,Bote 1100 gr, $59.00 ,1100, $0.0536 
Pulpa liquida,Miguelito botella mango,Bote 250 gr, $22.50 ,250, $0.0900 
Pulpa liquida,Forritos pulpa chamoy,Bote 1kg, $91.70 ,1000, $0.0917 
Adicionales - dulces,Gomitas tiburones lucky,Bolsa 1kg, $82.50 ,1000, $0.0825 
Adicionales - dulces,Gomitas mangusanos lucky,Bolsa 1kg, $69.80 ,1000, $0.0698 
MP indirecta,Ajonjoli garapiñado,Bolsa 500gr, $31.00 ,500, $0.0620 
Pulpa para escarchar,Mr Chela Tamarindo,Bote 1.1kg, $58.80 ,1100, $0.0535 
Vasos,Vaso 32 oz delgado (bodegas atizapan),25 piezas, $48.00 ,25, $1.9200 
Cerveza,Coronita,Caja 24 botellas 210 ml, $239.00 ,5040, $0.0474 
Polvo para escarchar,Miguelito Polvo Mora,Bolsa 980 gr, $63.70 ,980, $0.0650 
Pulpa para escarchar,Dulces Micho Mora,Bote 600 gr, $52.50 ,600, $0.0875 
Polvo para escarchar,Miguelito Polvo Mango,Bolsa 980 gr, $63.70 ,980, $0.0650 
Pulpa liquida,Chamoy Desol,2 botes de 1 lt, $72.00 ,2000, $0.0360 
Refresco,Refresco Toronjalimon Fresca Fusion,Botella 2 lt, $24.00 ,2000, $0.0120 
Alcohol,Bacardi Limon,Botella 750 ml, $239.00 ,750, $0.3187 
Alcohol,Bacardi Limon,4 botellas 750 ml, $930.00 ,3000, $0.3100 
Otros,Mango congelado,Bolsa 500gr, $50.00 ,500, $0.1000 
Refresco,Boing mango,Tetrapack 1lt, $32.00 ,1000, $0.0320 
Insumo secreto,Mangazo,Mezcla, $0.32 ,2.5, $0.1280 
Otros,Caldo de carne,Lata 300 gr, $30.00 ,300, $0.1000 
